ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"113.195.221.20","elite","AS4837","CN","China Unicom CHINA169 Network","186","N/A","9999","socks4","3707","1","2023-08-27T07:54:14.641Z","53","1885","3564"
"177.85.205.29","elite","AS52554","BR","S. A. da Silva Junior","198","S. A. da Silva Junior","3629","socks4","4714","1","2023-08-27T07:54:09.442Z","98","3449","3518"
"203.23.103.127","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","4702","1","2023-08-27T07:54:09.449Z","100","3529","3529"
"116.203.227.24","elite","AS24940","DE","Hetzner Online GmbH","18","Hetzner","24940","socks4","1501","82","2023-08-27T07:54:09.451Z","95","3354","3524"
"177.36.185.182","elite","AS53062","BR","Ggnet Telecom Backbone","255","Ggnet Telecom Backbone","5678","socks4","3901","1","2023-08-27T07:54:09.452Z","99","3543","3585"
"171.232.74.46","elite","AS7552","VN","Viettel Corporation","292","VIETEL","4005","socks4","2290","1","2023-08-27T07:54:09.445Z","90","3191","3527"
"218.1.200.180","elite","AS4812","CN","China Telecom","190","N/A","57114","socks5","4291","1","2023-08-27T07:54:09.441Z","43","1527","3548"
"124.163.236.54","elite","AS4837","CN","CNC Group CHINA169 Shan1xi Province Network","287","N/A","7302","socks5","4597","1","2023-08-27T07:54:04.434Z","82","2907","3548"
"159.192.91.134","elite","AS131090","TH","CAT-BB","190","N/A","5678","socks4","5093","1","2023-08-27T07:54:04.436Z","86","3058","3558"
"112.215.33.114","elite","AS17885","ID","XL-AXIATA Tbk GSM","185","N/A","3629","socks4","4895","1","2023-08-27T07:54:04.445Z","98","3497","3573"
"172.67.181.197","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4602","1","2023-08-27T07:54:04.442Z","100","3620","3621"
"185.128.153.79","elite","AS5484","IR","Shabakeh Gostar Shahriyar Co. (Ltd.)","127","CIS IT Group","3128","socks4","5008","1","2023-08-27T07:54:04.446Z","93","3240","3479"
"201.20.80.113","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","428","MOB SERVICOS DE TELECOMUNICACOES S.A","666","socks4","4392","1","2023-08-27T07:53:59.445Z","100","3548","3550"
"104.21.194.182","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","3707","82","2023-08-27T07:53:59.450Z","100","3528","3529"
"45.32.3.90","elite","AS20473","US","The Constant Company","86","Knoxville Internet","8888","socks5","4806","1","2023-08-27T07:53:59.536Z","100","3564","3564"
"199.195.253.35","elite","AS53667","US","FranTech Solutions","79","FranTech Solutions","30637","socks4","4897","1","2023-08-27T07:53:59.538Z","99","3556","3583"
"116.212.142.231","elite","AS38235","KH","Angkor Data Communication","209","Mekongnet","33427","socks5","4794","1","2023-08-27T07:53:59.446Z","97","3516","3635"
"104.24.220.52","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4696","1","2023-08-27T07:53:59.447Z","100","3533","3533"
"198.211.38.45","elite","AS35916","US","Multacom Corporation","194","Amazon.com, Inc","47457","socks4","5096","1","2023-08-27T07:53:59.539Z","93","3384","3625"
"72.52.131.65","elite","AS32244","US","Liquid Web, L.L.C","103","SourceDNS","80","socks5","3101","1","2023-08-27T07:53:54.445Z","96","3379","3538"
"197.234.13.63","elite","AS36902","SC","Intelvision","199","Intelvision Ltd","4145","socks4","5101","1","2023-08-27T07:53:54.438Z","100","3506","3517"
"141.95.86.243","elite","AS16276","DE","OVH SAS","99","OVH GmbH","9050","socks5","4503","1","2023-08-27T07:53:54.452Z","100","3502","3506"
"110.34.166.187","elite","AS45652","SG","Krypt Technologies","244","Vpls Sin1","4153","socks4","4904","1","2023-08-27T07:53:54.441Z","99","3534","3583"
"180.94.64.58","elite","AS55330","AF","Cafe-AFGHANTELECOM","194","N/A","5678","socks4","4593","82","2023-08-27T07:53:49.346Z","99","3509","3552"
"103.47.216.19","elite","AS133692","IN","Fastnet Communication Pvt. Ltd","196","Fastnet Communication Pvt. Ltd.","4145","socks4","5001","1","2023-08-27T07:53:49.345Z","99","3560","3612"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","290","N/A","38801","socks4","629","1","2023-08-27T07:53:49.349Z","81","2816","3478"
"103.78.210.178","elite","AS131111","ID","MORATELINDO","201","Moratelindo","30000","socks4","227","1","2023-08-27T07:53:49.439Z","98","3563","3621"
"1.1.1.18","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks5","4789","1","2023-08-27T07:53:44.239Z","100","3639","3639"
"129.205.183.58","elite","AS37353","ZA","Seacom Western Cape (Pty) Ltd","157","Ipc1","1080","socks4","1195","1","2023-08-27T07:53:44.245Z","31","1102","3529"
"36.92.177.9","elite","AS7713","ID","Telekomunikasi Indonesia","209","Temporary","1081","socks4","5095","1","2023-08-27T07:53:44.243Z","97","3532","3628"
"179.107.53.119","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","286","Topmega Internet e Informática LTDA -ME","4153","socks4","3194","1","2023-08-27T07:53:44.246Z","85","3054","3592"
"165.225.8.100","elite","AS22616","US","ZSCALER, INC.","93","Zscaler, Inc","10605","socks4","4900","1","2023-08-27T07:53:39.136Z","97","3542","3638"
"45.63.70.67","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","29313","socks4","4911","1","2023-08-27T07:53:39.236Z","59","2066","3507"
"36.37.93.98","elite","AS4800","ID","PT Aplikanusa Lintasarta","285","LA SII","4145","socks4","4508","1","2023-08-27T07:53:39.138Z","95","3347","3514"
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","42","Core Network Fiber","4153","socks4","4698","1","2023-08-27T07:53:39.239Z","100","3541","3553"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","206","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","2519","1","2023-08-27T07:53:39.140Z","100","3610","3622"
"202.6.224.52","elite","AS23756","ID","Padi Internet","194","N/A","1080","socks4","4689","1","2023-08-27T07:53:39.134Z","100","3619","3627"
"45.112.125.62","elite","AS58369","ID","FIBERNET","166","N/A","4145","socks4","4692","1","2023-08-27T07:53:39.051Z","99","3595","3631"
"159.223.117.14","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","24006","socks5","1799","1","2023-08-27T07:53:39.237Z","88","3081","3484"
"45.7.177.209","elite","AS266626","BR","Litoral Telecom","171","Litoral Telecom","39867","socks4","4892","1","2023-08-27T07:53:39.143Z","99","3457","3483"
"109.205.243.10","elite","AS56656","SK","Detronics s.r.o","82","Detronics s.r.o.","5678","socks4","4094","1","2023-08-27T07:53:33.033Z","100","3632","3638"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","48","Mastertel","5678","socks4","4800","1","2023-08-27T07:53:27.936Z","100","3582","3588"
"185.2.100.85","elite","AS51167","DE","Contabo GmbH","21","Contabo GmbH","40826","socks4","4586","1","2023-08-27T07:53:23.046Z","100","3541","3543"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","189","N/A","4145","socks4","4604","86","2023-08-27T07:53:22.947Z","94","3383","3606"
"49.12.234.231","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10040","socks5","4811","1","2023-08-27T07:53:22.943Z","87","3099","3543"
"45.14.174.180","elite","AS209242","DE","CloudKleyer","88","N/A","80","socks4","4808","1","2023-08-27T07:53:22.944Z","100","3565","3570"
"186.224.225.26","elite","AS53171","BR","Path Telecom S.A.","287","Path Telecom S.A","42648","socks4","1904","1","2023-08-27T07:53:22.945Z","100","3631","3641"
"71.234.197.16","elite","AS7015","US","Comcast Cable Communications, LLC","185","Comcast Cable Communications, Inc.","4600","socks4","4610","1","2023-08-27T07:53:22.946Z","97","3341","3436"
"43.130.199.69","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","96","Tencent Cloud Computing","443","socks5","3401","1","2023-08-27T07:53:18.048Z","83","2947","3567"
"197.157.254.162","elite","AS37451","CG","Congo Telecom","211","N/A","4145","socks4","4708","1","2023-08-27T07:53:18.049Z","98","3411","3472"
"170.254.255.252","elite","AS52584","BR","Connect Fibra","216","Connect Fibra","45816","socks4","4709","1","2023-08-27T07:53:18.135Z","99","3587","3632"
"51.68.87.157","elite","AS16276","FR","OVH SAS","8","OVH","49320","socks4","1699","1","2023-08-27T07:53:18.045Z","100","3565","3565"
"104.19.5.247","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4583","1","2023-08-27T07:53:18.136Z","100","3581","3581"
"181.78.13.91","elite","AS52468","CO","IFX Networks Argentina S.R.L","196","UFINET COLOMBIA, S. A","5678","socks4","388","1","2023-08-27T07:53:18.148Z","99","3463","3491"
"103.199.97.161","elite","AS45804","IN","New Shivam Cable Network","200","N/A","45804","socks5","5098","1","2023-08-27T07:53:13.036Z","97","3481","3599"
"95.179.232.45","elite","AS20473","GB","The Constant Company, LLC","9","Vultr Holdings LLC London","15737","socks5","4793","2","2023-08-27T07:53:13.134Z","84","2960","3532"
"163.53.83.124","elite","AS45433","IN","Kay Kay Softech Private Limited","246","Kappa  Private Limited","5678","socks4","4792","1","2023-08-27T07:53:12.934Z","68","2394","3509"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","188","Vivid-hosting LLC","9000","socks4","4597","1","2023-08-27T07:53:12.844Z","100","3606","3613"
"203.32.120.50","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","4993","1","2023-08-27T07:53:12.849Z","100","3639","3639"
"197.234.13.23","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","2196","1","2023-08-27T07:53:07.741Z","100","3484","3496"
